"x","y","fips","abbr","full","county"
-227938.00617792,-629389.9242038,"08063","CO","Colorado","Kit Carson County"
-547826.07858843,-624112.70228821,"08065","CO","Colorado","Lake County"
-691464.27065856,-827391.01336449,"08067","CO","Colorado","La Plata County"
-456065.54548805,-469318.8688799,"08069","CO","Colorado","Larimer County"
-375116.44273647,-842308.77716079,"08071","CO","Colorado","Las Animas County"
-300494.971937,-687872.21730337,"08073","CO","Colorado","Lincoln County"
-263068.05942486,-470816.22270922,"08075","CO","Colorado","Logan County"
-746278.44354592,-621815.88103973,"08077","CO","Colorado","Mesa County"
-609479.16874282,-783692.99397831,"08079","CO","Colorado","Mineral County"
-692037.68619769,-453402.03361339,"08081","CO","Colorado","Moffat County"
-765390.99486842,-813462.77693394,"08083","CO","Colorado","Montezuma County"
-674519.73342476,-692161.15284184,"08085","CO","Colorado","Montrose County"
-323352.89702171,-519157.6652426,"08087","CO","Colorado","Morgan County"
-327971.36573348,-784004.1058405,"08089","CO","Colorado","Otero County"
-676706.93595756,-727053.75662724,"08091","CO","Colorado","Ouray County"
-497632.82928241,-632740.89766625,"08093","CO","Colorado","Park County"
-199301.93491792,-486869.96687328,"08095","CO","Colorado","Phillips County"
-591169.93654917,-621153.77373639,"08097","CO","Colorado","Pitkin County"
-210093.69388731,-779764.39673941,"08099","CO","Colorado","Prowers County"
-391361.59588435,-745516.66419176,"08101","CO","Colorado","Pueblo County"
-739177.62205898,-522728.98742645,"08103","CO","Colorado","Rio Blanco County"
-561580.27911392,-803612.88174391,"08105","CO","Colorado","Rio Grande County"
-592360.66440359,-476844.39626369,"08107","CO","Colorado","Routt County"
-546504.73788931,-747933.4098096,"08109","CO","Colorado","Saguache County"
-673379.93610791,-772878.88491381,"08111","CO","Colorado","San Juan County"
-710108.62842771,-743700.79232119,"08113","CO","Colorado","San Miguel County"
-197797.90672122,-455623.35017031,"08115","CO","Colorado","Sedgwick County"
-517428.07216737,-585831.35100947,"08117","CO","Colorado","Summit County"
-448508.08098887,-664119.60655915,"08119","CO","Colorado","Teller County"
-270710.65848557,-567506.719151,"08121","CO","Colorado","Washington County"
-381133.64805999,-469951.33707411,"08123","CO","Colorado","Weld County"
-207245.86964914,-563833.31486131,"08125","CO","Colorado","Yuma County"
2182618.38935554,-53199.97491115,"09001","CT","Connecticut","Fairfield County"
2210766.55274321,17650.51694173,"09003","CT","Connecticut","Hartford County"
2170842.84931481,-3042.14589191,"09005","CT","Connecticut","Litchfield County"
2229765.73633153,-6961.13395032,"09007","CT","Connecticut","Middlesex County"
2206824.8936803,-29562.21515092,"09009","CT","Connecticut","New Haven County"
2271294.22848344,2118.215778,"09011","CT","Connecticut","New London County"
2239983.89435897,31539.76344348,"09013","CT","Connecticut","Tolland County"
2265395.76264674,44285.34061846,"09015","CT","Connecticut","Windham County"
