"x","y","order","hole","piece","group","fips","abbr","full"
-1482209.35494576,-1694968.14134984,250,FALSE,1,"02.1","02","AK","Alaska"
-1486647.89106245,-1691998.7587427,251,FALSE,1,"02.1","02","AK","Alaska"
-1490561.47831011,-1691217.71258427,252,FALSE,1,"02.1","02","AK","Alaska"
-1485946.96940822,-1688357.14822812,253,FALSE,1,"02.1","02","AK","Alaska"
-1481322.13522487,-1687128.74866018,254,FALSE,1,"02.1","02","AK","Alaska"
-1479983.41581674,-1683212.09183414,255,FALSE,1,"02.1","02","AK","Alaska"
-1478414.13792389,-1678624.04995817,256,FALSE,1,"02.1","02","AK","Alaska"
-1476972.77602954,-1672958.41985566,257,FALSE,1,"02.1","02","AK","Alaska"
-1476364.02270247,-1665422.03204139,258,FALSE,1,"02.1","02","AK","Alaska"
-1471532.27720647,-1666355.50940727,259,FALSE,1,"02.1","02","AK","Alaska"
-1465109.87261807,-1667880.06967858,260,FALSE,1,"02.1","02","AK","Alaska"
-1455906.32049491,-1667635.98323304,261,FALSE,1,"02.1","02","AK","Alaska"
-1448514.93948716,-1666699.53837808,262,FALSE,1,"02.1","02","AK","Alaska"
-1443982.61355743,-1666529.23802816,263,FALSE,1,"02.1","02","AK","Alaska"
-1438260.16067701,-1663525.88649817,264,FALSE,1,"02.1","02","AK","Alaska"
-1431822.68137769,-1657808.77741397,265,FALSE,1,"02.1","02","AK","Alaska"
-1425488.18835168,-1649025.50349348,266,FALSE,1,"02.1","02","AK","Alaska"
-1423302.26988009,-1642828.54452327,267,FALSE,1,"02.1","02","AK","Alaska"
-1422275.99073011,-1633530.59077263,268,FALSE,1,"02.1","02","AK","Alaska"
-1420317.65264816,-1627272.63612735,269,FALSE,1,"02.1","02","AK","Alaska"
-1418523.37555832,-1622921.02402268,270,FALSE,1,"02.1","02","AK","Alaska"
-1414802.65066627,-1617901.06611955,271,FALSE,1,"02.1","02","AK","Alaska"
-1409447.2202746,-1609538.00561008,272,FALSE,1,"02.1","02","AK","Alaska"
-1405784.50656264,-1604492.56231521,273,FALSE,1,"02.1","02","AK","Alaska"
-1398636.21298015,-1598601.16096307,274,FALSE,1,"02.1","02","AK","Alaska"
-1394200.62704878,-1600253.60401528,275,FALSE,1,"02.1","02","AK","Alaska"
-1389712.81578777,-1600844.82209115,276,FALSE,1,"02.1","02","AK","Alaska"
-1382056.1293327,-1597176.73290928,277,FALSE,1,"02.1","02","AK","Alaska"
-1372174.24070447,-1588308.72547862,278,FALSE,1,"02.1","02","AK","Alaska"
-1366370.30446556,-1581009.09293501,279,FALSE,1,"02.1","02","AK","Alaska"
-1362717.74172429,-1576643.07129621,280,FALSE,1,"02.1","02","AK","Alaska"
-1355271.29230314,-1572732.78396289,281,FALSE,1,"02.1","02","AK","Alaska"
-1354600.22634613,-1575688.24463766,282,FALSE,1,"02.1","02","AK","Alaska"
-1350730.93592709,-1577041.54938433,283,FALSE,1,"02.1","02","AK","Alaska"
-1346502.10800206,-1576973.4037344,284,FALSE,1,"02.1","02","AK","Alaska"
-1343300.98336666,-1575748.28234844,285,FALSE,1,"02.1","02","AK","Alaska"
-1338230.06602269,-1575141.367482,286,FALSE,1,"02.1","02","AK","Alaska"
-1334150.8818963,-1572930.36190463,287,FALSE,1,"02.1","02","AK","Alaska"
-1328718.59598888,-1567778.80112545,288,FALSE,1,"02.1","02","AK","Alaska"
-1324830.39399084,-1561714.71337188,289,FALSE,1,"02.1","02","AK","Alaska"
